name,time
0,1026
1000,766
1001,716
1002,811
1003,838
1004,819
1005,1054
1006,932
1007,984
1008,1025
1009,763
1010,704
1011,799
1012,698
1013,815
1014,773
1015,887
1016,827
1017,721
1018,747
1019,829
1020,710
1021,707
1022,748
1023,906
1024,821
1025,855
1026,810
1027,769
1028,957
1029,1216
102,1203
1030,1273
1031,1446
1032,747
1033,1120
1034,971
1035,1187
1036,1237
1037,977
1038,925
1039,784
103,934
1040,862
1041,772
1042,777
1043,771
1044,749
1045,792
1046,795
1047,808
1048,734
1049,679
104,710
1050,720
1051,687
1052,736
1053,783
1054,764
1055,749
1056,842
1057,807
1058,734
1059,781
105,729
1060,843
1061,932
1062,728
1063,774
1064,850
1065,823
1066,767
1067,815
1068,750
1069,800
106,759
1070,795
1071,734
1072,771
1073,791
1074,787
1075,784
1076,854
1077,859
1078,890
1079,993
107,896
1080,846
1081,825
1082,1016
1083,868
1084,881
1085,829
1086,789
1087,820
1088,886
1089,828
108,729
1090,694
1091,692
1092,697
1093,729
1094,727
1095,882
1096,728
1097,745
1098,708
1099,804
109,758
10,701
1100,711
1101,801
1102,733
1103,808
1104,723
1105,768
1107,810
1108,854
1109,869
110,801
1110,812
1111,914
1112,781
1113,761
1114,858
1115,785
1116,802
1117,789
1118,741
1119,773
111,759
1120,742
1121,724
1123,703
1124,756
1125,743
1126,728
1127,767
1128,715
1129,856
112,697
1130,711
1131,787
1132,706
1133,723
1134,798
1135,809
1136,805
1137,811
1138,839
113,765
1140,749
1141,704
1142,812
1143,752
1144,748
1145,732
1146,744
1147,698
1148,733
1149,854
114,949
1150,929
1151,855
1152,996
1153,831
1154,812
1155,1060
1156,934
1157,1004
1158,1010
1159,900
115,1067
1160,971
1161,1083
1162,1253
1163,1258
1164,938
1165,808
1166,775
1167,1029
1168,1259
1169,1164
116,976
1170,773
1171,726
1172,801
1173,790
1174,748
1175,762
1176,774
1177,892
1178,815
1179,875
117,799
1180,701
1181,732
1182,887
1183,761
1184,817
1185,827
1186,789
1187,803
1188,710
118,778
1190,798
1191,798
1192,664
1193,723
1194,782
1195,737
1196,714
1197,776
1198,683
1199,702
119,721
11,743
1200,755
1201,744
1202,713
1204,742
1206,790
1207,734
1208,949
1209,666
120,735
1210,737
1211,757
1212,797
1213,814
1214,768
1215,734
1216,799
1217,770
1218,704
1219,716
121,663
1220,659
1221,656
1222,695
1223,687
1224,712
1225,661
1226,687
1227,680
1228,722
1229,774
122,769
1230,713
1232,684
1233,703
1234,661
1235,650
1236,701
1237,683
1238,688
1239,682
123,702
1240,735
1241,765
1242,778
1243,682
1244,690
1245,715
1246,661
1247,667
1248,735
1249,662
124,685
1250,697
1251,700
1252,721
1253,665
1254,674
1255,723
1256,638
1257,697
1258,762
125,701
1260,687
1261,667
1262,705
1263,646
1264,681
1265,641
1266,637
1267,700
1268,805
1269,767
126,709
1270,678
1271,701
1272,698
1273,671
1274,741
1275,684
1276,609
1277,672
1278,689
127,644
1280,665
1281,664
1282,648
1283,676
1284,716
1285,699
1286,671
1287,662
1288,678
1289,661
128,723
1290,734
1291,656
1292,682
1293,705
1294,772
1295,853
1296,799
1297,764
1298,653
1299,667
129,655
12,644
1300,664
1301,678
1302,722
1303,687
1304,666
1305,744
1306,716
1307,728
1308,678
1309,726
130,634
1310,741
1311,743
1312,738
1314,714
1315,661
1316,660
1317,669
1318,707
1319,665
131,729
1320,796
1321,778
1322,700
1323,720
1324,715
1325,673
1326,700
1327,700
1328,697
1329,756
132,664
1330,709
1331,743
1332,663
1333,643
1334,697
1335,719
1336,663
1337,735
1338,689
1339,686
133,704
1340,675
1341,659
1342,688
1343,698
1344,697
1345,724
1346,825
1347,764
1348,684
1349,711
134,716
1350,690
1351,696
1352,669
1353,724
1354,696
1355,683
1356,682
1357,716
1358,698
1359,710
135,739
1361,662
1363,691
1364,713
1365,723
1366,659
1367,661
1368,736
1369,677
136,670
1370,657
1371,653
1372,709
1373,772
1374,775
1376,692
1377,719
1378,699
137,692
1380,701
1381,680
1382,705
1383,678
1384,650
1385,707
1386,677
1387,705
1388,676
1389,673
138,652
1390,678
1391,781
1392,703
1393,699
1394,708
1395,678
1396,727
1397,744
1398,719
1399,761
139,747
13,797
1400,769
1401,773
1402,684
1403,715
1404,681
1405,731
1406,664
1407,678
1408,708
1409,770
140,675
1410,697
1411,682
1412,677
1413,690
1414,690
1415,718
1416,704
1417,717
1418,707
1419,667
141,691
1420,808
1421,671
1422,643
1423,704
1424,726
1425,798
1426,786
1427,740
1428,687
1429,717
142,721
1430,691
1431,690
1432,688
1433,718
1434,675
1435,672
1436,697
1437,697
1438,663
1439,672
143,694
1440,716
1441,708
1442,650
1443,702
1444,711
1445,659
1446,686
1447,669
1448,680
1449,738
144,701
1450,830
1451,819
1452,797
1453,705
1454,703
1455,692
1456,671
1457,731
1458,663
1459,686
145,660
1460,682
1461,701
1462,682
1463,691
1464,722
1465,661
1466,697
1467,670
1468,709
1469,771
146,653
1470,713
1471,678
1472,714
1473,656
1474,643
1475,755
1476,775
1477,816
1478,821
1479,711
147,716
1480,694
1481,692
1482,652
1483,653
1484,645
1485,699
1486,644
1487,698
1488,682
1489,690
148,690
1490,680
1491,668
1492,689
1493,682
1494,648
1495,633
1496,680
1497,690
1498,688
1499,666
149,699
14,669
1500,706
1501,720
1502,817
1503,744
1504,751
1505,749
1506,705
1507,707
1508,687
1509,666
1510,686
1511,667
1512,727
1513,721
1514,705
1515,718
1516,682
1517,680
1518,676
1519,694
151,658
1520,713
1521,740
1522,739
1523,681
1524,685
1525,662
1526,648
1527,624
1528,627
1529,729
152,787
1530,794
1531,715
1532,724
1533,701
1534,708
1535,666
1537,682
1538,720
1539,660
153,706
1540,690
1541,658
1542,709
1543,670
1544,680
1545,758
1546,702
1547,692
1548,689
1549,677
154,745
1550,682
1551,651
1552,666
1553,673
1554,651
1555,677
1556,680
1557,685
1558,754
1559,820
155,810
1560,795
1561,660
1562,740
1563,733
1564,660
1565,653
1566,655
1567,645
1568,679
1569,719
156,676
1570,700
1571,673
1572,692
1573,657
1574,748
1575,643
1576,712
1577,694
1578,698
1579,666
157,658
1580,674
1581,665
1582,706
1583,678
1585,692
1587,715
1588,839
1589,745
158,735
1590,727
1592,795
1593,736
1594,706
1595,674
1596,746
1597,670
1598,662
1599,662
159,725
15,698
1600,672
1601,658
1602,663
1603,730
1604,741
1605,648
1606,702
1607,685
1608,677
1609,727
160,697
1610,675
1611,688
1612,672
1613,729
1614,675
1615,680
1616,820
1617,786
1618,775
1619,663
161,676
1620,674
1621,665
1622,712
1623,713
1624,672
1625,651
1626,689
1627,679
1628,687
1629,706
162,657
1630,682
1631,692
1632,685
1633,772
1634,702
1635,700
1636,679
1637,643
1638,713
1639,672
163,744
1640,727
1641,845
1642,810
1643,687
1644,727
1645,767
1646,667
1647,765
1648,662
1649,687
164,703
1650,670
1652,686
1654,649
1655,718
1657,671
1658,663
1659,685
165,671
1660,680
1661,679
1662,720
1663,676
1664,675
1665,758
1666,696
1667,707
1668,662
1669,653
166,636
1671,689
1672,825
1673,801
1674,665
1675,722
1676,659
1677,687
1678,658
1679,716
167,684
1680,704
1681,702
1682,755
1683,664
1684,674
1685,687
1686,651
1687,697
1688,650
1689,669
168,658
1690,714
1691,703
1692,679
1693,665
1694,712
1695,697
1696,699
1697,681
1698,707
1699,832
169,750
16,731
1700,657
1701,708
1702,720
1703,652
1704,730
1705,669
1706,746
1707,647
1708,676
1709,666
170,692
1710,676
1711,722
1712,682
1713,688
1714,735
1715,720
1716,681
1717,664
1718,705
1719,690
171,683
1720,687
1721,664
1722,722
1724,770
1725,796
1726,710
1727,779
1728,801
1729,754
172,801
1730,710
1731,760
1732,656
1733,683
1734,705
1735,688
1736,665
1737,674
1738,654
1739,681
173,678
1740,664
1741,671
1742,668
1743,696
1744,657
1745,729
1746,700
1747,677
1748,675
1749,686
174,736
1750,663
1752,690
1753,722
1754,792
1755,816
1756,758
1757,718
1758,692
1759,699
175,690
1762,651
1763,695
1764,695
1765,685
1766,672
1768,668
1769,677
176,678
1770,642
1771,663
1772,667
1773,709
1774,676
1775,686
1776,699
1777,691
1778,777
1779,687
177,649
1780,690
1781,653
1782,828
1783,766
1784,788
1785,732
1786,694
1787,689
1788,670
1789,674
178,652
1791,763
1792,671
1793,735
1794,681
1795,760
1796,702
1797,644
1798,738
1799,669
179,679
17,651
1800,754
1801,686
1802,649
1803,687
1804,690
1805,703
1807,723
1808,717
1809,821
180,813
1810,681
1811,760
1812,695
1813,769
1815,703
1816,660
1817,716
1818,719
1819,691
181,705
1820,667
1821,695
1822,640
1823,681
1824,742
1825,699
1826,712
1827,679
1828,742
1829,652
182,648
1830,670
1831,681
1832,726
1833,704
1835,700
1836,742
1837,796
1838,751
1839,758
183,663
1840,715
1841,716
1842,701
1843,647
1844,757
1845,651
1846,665
1847,681
1848,657
1849,713
184,658
1850,682
1851,712
1852,755
1853,705
1854,692
1855,712
1856,670
1857,710
1858,722
1859,703
185,713
1860,698
1861,766
1862,799
1863,806
1864,785
1865,713
1866,770
1867,745
1868,661
1869,715
186,670
1870,705
1871,661
1872,713
1873,673
1874,659
1875,680
1876,748
1877,639
1878,714
1879,680
187,659
1880,679
1881,639
1882,764
1883,687
1884,704
1885,755
1886,713
1887,763
1888,799
1889,758
188,665
1890,713
1892,730
1893,712
1894,666
1895,775
1896,717
1897,764
1898,706
189,703
18,671
1900,716
1901,742
1902,727
1903,714
1904,751
1905,850
1906,673
1907,720
1908,672
1909,769
190,740
1910,707
1911,746
1912,729
1913,671
1914,695
1915,657
1916,681
1917,656
1918,731
1919,658
191,679
1920,677
1921,726
1922,722
1923,660
1924,704
1925,692
1926,663
1927,668
1928,708
1929,668
192,801
1930,749
1931,727
1932,712
1933,738
1934,684
1935,678
1936,682
1937,703
1938,680
1939,679
193,681
1940,696
1941,681
1942,721
1943,689
1944,699
1945,717
1946,686
1947,655
1948,670
1949,674
194,689
1950,660
1951,662
1952,675
1953,678
1954,675
1955,712
1956,829
1957,838
1958,782
1959,676
195,688
1960,710
1962,719
1963,722
1964,628
1965,753
1966,681
1967,663
1968,652
1969,720
196,684
1970,649
1971,746
1972,688
1973,660
1974,644
1975,707
1976,667
1977,723
1978,688
1979,644
197,666
1980,675
1981,662
1982,708
1983,712
1984,829
1985,782
1986,758
1987,710
1988,723
1989,727
198,679
1990,715
1991,670
1992,680
1993,705
1994,663
1995,715
1996,723
1997,668
1998,665
1999,710
199,701
19,668
1,702
2000,674
2001,666
2002,679
2003,681
2004,668
2005,715
2006,665
2007,694
2009,691
200,739
2010,779
2011,781
2012,813
2013,687
2014,707
2015,645
2016,721
2017,683
2019,640
201,678
2020,713
2021,753
2022,682
2023,662
2024,654
2025,694
2026,757
2027,708
2028,724
2029,736
202,655
2030,711
2031,724
2032,681
2033,667
2034,641
2035,684
2036,683
2037,707
2038,784
2039,768
203,691
2040,767
2041,652
2042,758
2043,672
2044,694
2045,671
2046,689
2047,646
2048,652
2049,682
204,671
2050,692
2051,642
2052,761
2053,673
2054,672
2055,691
2056,681
2057,738
2058,686
2059,699
205,635
2060,685
2061,704
2062,691
2063,732
2064,891
2065,750
2066,713
2067,691
2068,729
2069,716
206,649
2070,720
2071,706
2072,685
2073,695
2074,690
2076,715
2077,635
2078,630
2079,668
207,698
2080,663
2082,703
2083,651
2084,685
2085,693
2086,678
2087,655
2088,681
2089,806
208,679
2090,752
2091,791
2092,803
2093,798
2094,779
2095,819
2096,753
2097,707
2098,672
2099,730
209,696
20,719
2100,667
2101,662
2102,653
2103,733
2104,684
2105,730
2106,690
2107,675
2108,670
2109,670
210,680
2110,647
2111,687
2112,679
2113,692
2114,682
2115,731
2116,667
2117,701
2118,723
211,782
2120,761
2121,877
2122,712
2123,720
2124,707
2125,722
2126,780
2127,674
2128,672
2129,671
212,707
2130,666
2131,708
2132,686
2133,741
2134,708
2135,676
2136,721
2137,741
2138,737
2139,699
213,681
2140,657
2141,679
2142,642
2143,680
2144,687
2145,657
2146,693
2147,723
2148,810
2149,763
214,705
2150,648
2151,689
2152,674
2153,648
2154,669
2155,721
2156,689
2158,691
2159,700
215,684
2160,688
2162,685
2163,665
2164,666
2165,654
2166,778
2167,675
2168,670
2169,680
216,693
2170,637
2172,684
2173,623
2174,748
2175,693
2176,805
2177,865
2178,702
2179,758
217,728
2180,725
2181,747
2182,653
2183,667
2184,646
2185,666
2186,723
2187,651
2188,677
2189,681
218,694
2190,675
2191,694
2192,664
2193,689
2194,699
2195,726
2196,692
2197,681
2198,663
2199,681
219,698
21,682
2200,680
2201,742
2202,823
2203,785
2204,708
2205,669
2206,646
2207,671
2208,698
2209,683
220,685
2210,674
2211,668
2212,676
2213,689
2214,719
2215,644
2216,660
2217,667
2218,684
2219,676
221,667
2220,672
2221,708
2222,688
2223,714
2224,671
2225,679
2227,677
2228,718
2229,690
222,817
2230,856
2231,696
2232,731
2233,702
2234,763
2235,759
2236,713
2237,711
2239,702
223,726
2241,674
2243,697
2244,677
2245,822
2246,693
2247,694
2248,675
2249,724
224,687
2250,617
2251,713
2252,632
2253,676
2254,672
2255,689
2256,721
2257,791
2258,762
2259,764
225,699
2260,668
2261,741
2262,721
2263,740
2264,640
2265,715
2266,684
2267,663
2268,653
2269,629
226,704
2270,702
2271,703
2272,716
2273,717
2274,667
2275,682
2276,671
2277,683
2278,662
2279,678
227,708
2280,656
2282,674
2283,888
2284,793
2285,770
2286,733
2287,679
2288,751
2289,720
228,691
2290,682
2291,668
2292,693
2293,683
2294,665
2295,662
2296,705
2297,675
2298,794
2299,696
229,667
22,693
2300,662
2301,645
2302,638
2304,720
2305,681
2306,729
2307,727
2308,702
2309,795
230,699
2310,817
2311,691
2312,679
2313,773
2314,713
2315,646
2316,663
2317,694
2318,680
2319,693
231,698
2320,674
2321,651
2322,665
2323,643
2324,699
2325,674
2326,650
2327,728
2328,681
2329,643
232,665
2330,712
2331,750
2332,665
2333,663
2334,740
2335,822
2336,854
2337,771
2338,798
2339,741
233,715
2340,652
2341,697
2342,731
2343,672
2344,685
2345,696
2346,674
2347,650
2348,670
2349,656
234,673
2350,665
2351,654
2352,666
2353,628
2354,647
2355,656
2356,649
2357,692
2359,639
235,674
2360,684
2361,747
2362,763
2363,818
2364,702
2365,783
2366,670
2367,685
2368,665
2369,697
236,656
2370,668
2371,745
2372,628
2373,717
2374,721
2375,731
2376,656
2377,678
2378,652
2379,660
237,687
2380,726
2381,680
2382,647
2383,644
2384,676
2385,674
2386,675
2387,685
2388,751
2389,758
238,780
2390,817
2391,718
2392,673
2393,671
2394,701
2395,690
2396,784
2397,739
2398,687
2399,742
239,688
23,673
2400,696
2401,673
2402,668
2403,733
2404,702
2405,741
2406,692
2407,671
2408,662
2409,693
240,699
2410,664
2411,680
2412,805
2413,804
2414,793
2415,736
2416,675
2417,778
2418,644
2419,653
241,634
2420,728
2421,713
2422,717
2423,712
2424,747
2425,735
2426,665
2427,666
2428,686
2429,652
242,704
2430,674
2431,687
2432,685
2433,664
2434,698
2435,710
2436,678
2438,687
2439,772
243,789
2440,756
2441,872
2442,753
2443,699
2444,699
2446,678
2447,775
2448,683
2449,773
244,786
2450,720
2451,757
2452,717
2453,704
2454,731
2455,746
2456,729
2457,785
2458,674
2459,682
245,772
2460,715
2461,667
2462,688
2463,704
2464,644
2465,694
2466,707
2467,676
2468,666
2469,746
246,655
2470,690
2471,688
2472,705
2473,677
2474,719
2475,766
2476,736
2477,701
2478,674
2479,664
247,700
2480,820
2481,767
2482,672
2484,679
2485,729
2486,679
2487,685
2488,720
2489,683
248,709
2490,672
2492,677
2493,690
2494,678
2495,656
2497,675
2498,662
2499,724
249,686
24,671
2500,671
2502,674
2503,669
2504,674
2505,673
2506,664
2507,690
2508,736
2509,764
250,817
2510,719
2511,757
2512,680
2513,791
2514,727
2515,724
2516,660
2517,701
2518,738
2519,718
251,669
2520,689
2521,713
2522,639
2523,723
2524,743
2525,748
2526,690
2527,653
2528,679
2529,688
252,730
2530,732
2531,745
2532,698
2533,696
2534,720
2535,820
2536,762
2537,726
2538,714
2539,693
253,670
2540,703
2541,733
2542,689
2543,683
2544,705
2545,654
2546,670
2547,658
2548,672
2549,687
254,681
2550,675
2551,674
2552,656
2553,711
2554,686
2555,684
2556,689
2557,716
2558,709
255,737
2560,662
2561,691
2562,814
2563,725
2564,780
2565,715
2566,729
2567,760
2568,660
2569,702
256,706
2570,753
2571,694
2572,748
2573,727
2574,712
2575,766
2576,672
2577,685
2578,688
2579,732
257,718
2580,728
2581,806
2582,661
2583,703
2584,659
2585,708
2586,737
2587,777
2588,820
2589,1444
258,1359
2590,871
2591,959
2592,1064
2593,1457
2594,1442
2595,1955
2596,1434
2597,1009
2598,1309
2599,1251
259,1615
25,2525
2600,2003
2601,2082
2602,1221
2603,1022
2604,892
2605,1176
2606,1275
2607,1199
2608,1001
2609,959
260,997
2610,1296
2611,1023
2612,765
2613,1127
2614,1291
2615,804
2616,725
2617,721
2618,750
2619,772
2620,708
2621,756
2622,767
2623,764
2624,707
2625,718
2626,714
2627,726
2628,691
2629,914
262,759
2630,903
2631,1066
2632,1002
2633,1081
2634,1180
2635,1349
2636,804
2637,715
2638,708
2639,694
263,658
2640,713
2641,767
2642,1193
2644,1108
2645,657
2646,670
2647,683
2648,689
2649,698
264,656
2650,700
2651,677
2652,730
2653,927
2654,1143
2655,1442
2656,1121
2657,952
2659,898
265,1596
2660,1342
2661,1066
2662,960
2663,1196
2664,800
2665,838
2666,924
2667,1033
2668,1223
2669,1077
266,862
2670,905
2671,861
2672,782
2673,792
2674,760
2675,817
2676,890
2677,832
2678,1012
2679,949
267,918
2680,927
2681,889
2682,792
2683,797
2684,799
2685,1015
2686,952
2687,1005
2688,854
2689,926
268,824
2690,828
2691,791
2692,794
2693,938
2694,900
2695,951
2696,1641
2697,915
2698,1252
2699,1663
269,1102
26,917
2700,1123
2701,1066
2702,912
2703,880
2704,953
2705,861
2706,912
2707,813
2708,1091
2709,899
270,859
2710,772
2711,834
2712,901
2713,851
2715,750
2716,809
2717,743
2718,733
2719,795
271,831
2720,782
2721,717
2722,782
2723,786
2724,880
2725,1092
2726,999
2727,1007
2728,1111
2729,962
272,1031
2730,1109
2731,1078
2732,920
2733,1096
2734,992
2735,964
2736,1046
2737,959
2738,987
2739,1205
273,1399
2740,1054
2741,944
2742,975
2743,930
2744,969
2745,1040
2746,988
2747,1004
2748,1182
2749,960
274,960
2750,1023
2751,1033
2752,1060
2753,1062
2754,1103
2755,955
2756,1108
2757,1074
2758,926
2759,933
275,996
2760,847
2761,804
2762,760
2763,801
2764,772
2765,880
2766,842
2767,992
2769,988
276,945
2770,879
2771,1024
2772,1049
2773,1135
2774,1013
2775,925
2776,966
2777,901
2778,1172
2779,824
277,850
2780,801
2781,763
2782,721
2783,811
2784,775
2785,991
2786,1037
2787,1160
2788,1241
2789,1117
278,994
2790,990
2791,1044
2792,1030
2793,1001
2794,876
2795,1061
2796,1203
2797,1089
2798,1024
2799,1181
279,1089
27,837
2800,965
2801,869
2803,1005
2804,760
2805,888
2806,1012
2807,1000
2808,1211
2809,1054
280,986
2810,1005
2811,1144
2812,1134
2813,1025
2814,1025
2815,1102
2816,1106
2817,1012
2818,893
2819,965
281,1002
2820,922
2821,963
2822,1015
2823,1074
2824,948
2825,988
2826,1154
2827,1061
2828,960
282,1151
2830,1046
2831,1182
2832,1119
2834,938
2835,1007
2836,1015
2837,935
2838,869
2839,920
283,974
2840,952
2841,882
2842,915
2843,949
2844,981
2845,940
2846,895
2847,961
2848,979
2849,1036
284,1063
2850,1169
2851,1019
2852,1002
2853,822
2854,739
2855,714
2856,785
2857,816
2858,761
2859,848
285,725
2860,762
2861,752
2862,812
2863,758
2864,747
2865,735
2866,790
2867,799
2868,799
2869,761
286,750
2870,738
2871,715
2872,771
2873,733
2874,750
2875,740
2876,690
2877,726
2878,727
287,765
2880,735
2881,752
2882,741
2883,734
2884,697
2885,689
2886,691
2887,912
2888,1051
2889,919
2890,927
2891,1023
2892,1159
2893,1069
2894,754
2895,807
2896,741
2897,912
2898,802
2899,896
289,915
28,825
2900,745
2901,737
2903,837
2904,1072
2905,946
2906,1025
2907,901
2908,968
2909,1101
290,789
2910,825
2911,773
2912,719
2913,737
2914,1031
2915,837
2916,821
2917,836
2918,704
2919,939
291,971
2920,965
2921,950
2922,1012
2923,1082
2924,1121
2925,1357
2926,902
2927,882
2928,1135
2929,1056
292,1180
2930,922
2931,1115
2932,1581
2933,1423
2934,1244
2935,1029
2936,1108
2937,1000
2938,1070
2939,868
293,742
2940,705
2941,767
2942,763
2944,676
2945,730
2946,764
2947,718
2948,872
2949,772
294,789
2950,705
2951,841
2952,755
2953,875
2954,835
2955,840
2956,778
2957,770
2958,751
295,746
2960,788
2961,687
2963,846
2964,771
2965,757
2966,784
2967,754
2968,770
2969,799
296,693
2970,787
2971,906
2972,861
2973,835
2974,739
2975,908
