directory,template,time0,time1,time2,time3,time4,avg_time,std_dev,key,generalization_nodes,generalization_edges,generalization_node_variables,generalization_edge_variables,g1_nodes,g1_edges,g2_nodes,g2_edges
twitter4j.TwitterException,Template5,690,652,657,673,652,664.8,14.770240350109402,twitter4j.TwitterException-Template5,237,234,5,9,250,249,264,263
twitter4j.TwitterException,Template6,663,689,711,674,690,685.4,16.255460620972883,twitter4j.TwitterException-Template6,142,140,4,6,150,149,184,183
twitter4j.TwitterException,Template7,695,694,744,692,751,715.2,26.483202223296182,twitter4j.TwitterException-Template7,210,192,20,54,262,261,320,319
twitter4j.TwitterException,Template8,792,875,783,782,774,801.2,37.33845203004538,twitter4j.TwitterException-Template8,415,403,1,23,416,415,416,415
twitter4j.TwitterException,Template9,710,675,659,692,654,678.0,20.813457185196313,twitter4j.TwitterException-Template9,247,227,12,49,310,309,297,296
twitter4j.Twitter,Template10,727,779,1211,938,864,903.8,169.68134841519856,twitter4j.Twitter-Template10,383,382,0,0,383,382,383,382
twitter4j.Twitter,Template11,749,724,939,1246,1029,937.4,192.17762616912512,twitter4j.Twitter-Template11,253,245,13,27,269,268,275,274
twitter4j.Twitter,Template12,1049,965,881,815,790,900.0,96.03332754830481,twitter4j.Twitter-Template12,415,403,1,23,416,415,416,415
twitter4j.Twitter,Template13,776,804,764,836,760,788.0,28.50964748992874,twitter4j.Twitter-Template13,247,244,13,17,275,274,337,336
twitter4j.Twitter,Template14,749,759,720,688,800,743.2,37.669085468059876,twitter4j.Twitter-Template14,260,259,0,0,260,259,260,259
twitter4j.Twitter,Template15,850,729,771,891,922,832.6,72.43369381717324,twitter4j.Twitter-Template15,399,393,0,10,399,398,399,398
twitter4j.Twitter,Template16,921,900,1055,1090,706,934.4,135.85668919858162,twitter4j.Twitter-Template16,218,214,21,27,238,237,330,329
twitter4j.Twitter,Template17,638,704,668,628,645,656.6,27.11162112452887,twitter4j.Twitter-Template17,146,142,2,5,150,149,157,156
twitter4j.Twitter,Template18,744,887,1227,780,756,878.8,181.28585162665067,twitter4j.Twitter-Template18,367,362,7,15,375,374,383,382
twitter4j.Twitter,Template19,713,691,685,807,705,720.2,44.51696305904076,twitter4j.Twitter-Template19,211,198,16,40,269,268,249,248
twitter4j.Twitter,Template1,742,927,795,730,691,777.0,82.04145293691477,twitter4j.Twitter-Template1,143,141,3,5,268,267,150,149
twitter4j.Twitter,Template20,854,980,1042,1023,737,927.2,115.48056113476414,twitter4j.Twitter-Template20,222,220,5,6,246,245,231,230
twitter4j.Twitter,Template2,822,703,763,757,700,749.0,44.9577579512146,twitter4j.Twitter-Template2,260,259,2,2,262,261,262,261
twitter4j.Twitter,Template3,1263,867,1009,939,936,1002.8,137.63487930027037,twitter4j.Twitter-Template3,417,411,13,23,439,438,534,533
twitter4j.Twitter,Template4,799,840,737,746,793,783.0,37.656340767525464,twitter4j.Twitter-Template4,227,226,5,5,233,232,246,245
twitter4j.Twitter,Template5,769,839,1028,735,821,838.4,101.74399245164307,twitter4j.Twitter-Template5,285,284,7,7,297,296,346,345
twitter4j.Twitter,Template6,1281,785,763,812,772,882.6,199.88456668787614,twitter4j.Twitter-Template6,305,304,2,2,307,306,307,306
twitter4j.Twitter,Template7,861,886,711,694,731,776.6,80.37064140592634,twitter4j.Twitter-Template7,308,307,1,1,310,309,310,309
twitter4j.Twitter,Template8,735,723,761,975,749,788.6,94.07571418809427,twitter4j.Twitter-Template8,272,266,13,23,299,298,284,283
twitter4j.Twitter,Template9,1309,778,788,803,759,887.4,211.2842634935219,twitter4j.Twitter-Template9,296,294,8,10,320,319,360,359
twitter4j.User,Template1,685,699,678,735,769,713.2,34.13151036798694,twitter4j.User-Template1,260,258,2,4,262,261,262,261
twitter4j.User,Template2,794,761,851,786,759,790.2,33.331066589594755,twitter4j.User-Template2,291,288,1,5,373,372,291,290
twitter4j.User,Template3,738,676,693,803,767,735.4,46.69304016660299,twitter4j.User-Template3,241,233,13,25,320,319,275,274
twitter4j.User,Template4,783,829,829,783,857,816.2,28.971710339570908,twitter4j.User-Template4,367,362,7,15,375,374,383,382
twitter4j.User,Template5,689,764,810,771,685,743.8,48.9710118335327,twitter4j.User-Template5,260,258,2,4,262,261,262,261
