directory,template,vsfiles,is_same,ASGard_completeness,generalization_completeness,ASGard_completeness_v2,generalization_completeness_v2,ASGard_abstraction,generalization_abstraction,ASGard_variable_ratio,generalization_variable_ratio
java.io.BufferedReader,Template1,BufferedReader18vs24,False,0.7828878018533191,0.9594233352854042,0.7750129181163664,0.9594233352854042,0.01818181818181818,0.0,0.014285714285714285,0.0
java.io.BufferedReader,Template2,BufferedReader19vs22,False,0.23910756393977867,0.2722058878962645,0.22823890836443134,0.3366391496098609,0.5531914893617021,0.4634146341463415,0.3353341985723556,0.24505191434133677
java.io.BufferedReader,Template3,BufferedReader17vs23,False,0.8721312787032147,0.9620317475557263,0.867665178499992,0.961587697822156,0.012987012987012988,0.010869565217391304,0.010869565217391304,0.010869565217391304
java.io.BufferedReader,Template4,BufferedReader20vs27,False,0.8174121144450213,0.9421000789423153,0.8120923980684025,0.9427739333897546,0.01694915254237288,0.013888888888888888,0.013888888888888888,0.013888888888888888
java.io.File,Template10,File22vs11,True,0.8552727272727273,0.9985454545454545,0.8552727272727273,0.9985454545454545,0.0,0.0,0.0,0.0
java.io.File,Template11,File63vs62,False,0.6162870945479642,0.9113181504485852,0.6043478260869566,0.9113181504485852,0.14285714285714285,0.0,0.13043478260869565,0.0
java.io.File,Template12,File23vs12,True,0.8946135831381733,0.9976580796252927,0.8946135831381733,0.9976580796252927,0.0,0.0,0.0,0.0
java.io.File,Template13,File58vs61,False,0.46649484536082475,0.6923076923076923,0.518850114416476,0.7488558352402747,0.35714285714285715,0.23529411764705882,0.29411764705882354,0.23529411764705882
java.io.File,Template14,File39vs41,False,0.710978396166897,0.9362313482995026,0.710978396166897,0.9606245843777175,0.0,0.038461538461538464,0.0,0.03774928774928775
java.io.File,Template15,File48vs49,True,0.8277027027027027,0.9966216216216216,0.8277027027027027,0.9966216216216216,0.0,0.0,0.0,0.0
java.io.File,Template16,File72vs65,False,0.5026724975704567,0.7255826626425218,0.5613515275325421,0.8158953722334004,0.12658227848101267,0.06666666666666667,0.08083441981747067,0.05658409387222947
java.io.File,Template17,File40vs44,True,0.8396624472573839,0.9957805907172996,0.8396624472573839,0.9957805907172996,0.0,0.0,0.0,0.0
java.io.File,Template18,File10vs21,True,0.8161616161616162,0.9986531986531987,0.8161616161616162,0.9986531986531987,0.0,0.0,0.0,0.0
java.io.File,Template1,File8vs7,False,0.5709278688174417,0.7444263989369555,0.6446160546770303,0.8214676583579023,0.21153846153846154,0.07017543859649122,0.1765536723163842,0.06420133538777606
java.io.File,Template2,File19vs30,True,0.8199708454810496,0.9985422740524781,0.8199708454810496,0.9985422740524781,0.0,0.0,0.0,0.0
java.io.File,Template3,File15vs14,True,0.8380462724935733,0.9974293059125964,0.8380462724935733,0.9974293059125964,0.0,0.0,0.0,0.0
java.io.File,Template4,File57vs60,False,0.5261682950844505,0.790786184957964,0.5777289038083111,0.8262144538333912,0.25,0.13333333333333333,0.2,0.13333333333333333
java.io.File,Template5,File7vs6,False,0.6306309920173292,0.7646110590440487,0.6739588447062674,0.8468438062510227,0.1568627450980392,0.0847457627118644,0.12576762466224514,0.07860476541390321
java.io.File,Template6,File17vs28,True,0.8334749362786746,0.9983007646559049,0.8334749362786746,0.9983007646559049,0.0,0.0,0.0,0.0
java.io.File,Template7,File29vs18,True,0.7536231884057971,0.9951690821256038,0.7536231884057971,0.9951690821256038,0.0,0.0,0.0,0.0
java.io.File,Template8,File9vs20,True,0.8091259431976424,0.9977192081534838,0.8091259431976424,0.9977192081534838,0.0,0.0,0.0,0.0
java.io.File,Template9,File56vs59,False,0.4886257533316357,0.7662337662337662,0.532987012987013,0.8225108225108225,0.2857142857142857,0.125,0.25,0.125
java.io.InputStreamReader,Template1,InputStreamReader9vs7,False,0.2521336624933874,0.2969204200918951,0.21878504672897198,0.39169158878504673,0.6111111111111112,0.5294117647058824,0.38386727688787187,0.31407322654462244
java.io.InputStreamReader,Template2,InputStreamReader4vs3,False,0.28371537667441943,0.4390873846695292,0.24063363870082694,0.4838654807591761,0.2916666666666667,0.17543859649122806,0.08243881494203521,0.07851315708765258
java.io.InputStreamReader,Template4,InputStreamReader11vs12,False,0.2194878626645535,0.3043445054547501,0.1506543729986739,0.4419514344858816,0.6666666666666666,0.4,0.2854251012145749,0.2854251012145749
java.io.InputStream,Template1,InputStream3vs4,False,0.5609322066897706,0.7789217221284493,0.543066858767182,0.7994198045247459,0.15,0.04,0.09441489361702127,0.031471631205673756
java.io.InputStream,Template2,InputStream12vs11,False,0.1940944650942038,0.2050458886832801,0.10540318581050451,0.3080221204251303,0.5909090909090909,0.5,0.13591391268869848,0.2613729090167279
java.io.IOException,Template10,IOException30vs32,False,0.5975821515956747,0.7723880597014925,0.5899918440369386,0.8542055828882633,0.13793103448275862,0.09375,0.10960960960960961,0.0822072072072072
java.io.IOException,Template11,IOException15vs10,False,0.6194543587338309,0.7718061643359075,0.6522013887320384,0.8107625531563163,0.125,0.07339449541284404,0.07905384375972611,0.0632430750077809
java.io.IOException,Template12,IOException9vs6,True,0.8321479374110953,0.9992887624466572,0.8321479374110953,0.9992887624466572,0.0,0.0,0.0,0.0
java.io.IOException,Template1,IOException22vs21,False,0.35372371898544436,0.527048372167894,0.3880580397443459,0.6082888987855226,0.2903225806451613,0.23076923076923078,0.2764227642276423,0.1842818428184282
java.io.IOException,Template2,IOException19vs17,True,0.7472118959107807,0.9962825278810409,0.7472118959107807,0.9962825278810409,0.0,0.0,0.0,0.0
java.io.IOException,Template3,IOException41vs44,False,0.44582814445828145,0.7424242424242424,0.5125329622271573,0.8447613225859945,0.5,0.19672131147540983,0.400379057095475,0.18479033404406536
java.io.IOException,Template4,IOException18vs20,True,0.8293918918918919,0.9983108108108109,0.8293918918918919,0.9983108108108109,0.0,0.0,0.0,0.0
java.io.IOException,Template5,IOException36vs35,False,0.6235620363409411,0.7870719879639456,0.6634453420202031,0.8426196172853869,0.13333333333333333,0.0851063829787234,0.12182116488925349,0.08121410992616898
java.io.IOException,Template6,IOException8vs7,True,0.8192457737321196,0.9986996098829649,0.8192457737321196,0.9986996098829649,0.0,0.0,0.0,0.0
java.io.IOException,Template7,IOException31vs29,False,0.6472102354455296,0.853566958698373,0.667642790296107,0.9049986872264719,0.10714285714285714,0.07462686567164178,0.08333333333333333,0.06944444444444445
java.io.IOException,Template8,IOException27vs26,True,0.696652719665272,0.9707112970711297,0.696652719665272,0.9707112970711297,0.0,0.0,0.0,0.0
java.io.IOException,Template9,IOException4vs5,False,0.6351676844043811,0.7964476107395562,0.645521146328067,0.8246066362960809,0.14516129032258066,0.031746031746031744,0.1231527093596059,0.02736726874657909
java.io.OutputStreamWriter,Template1,OutputStreamWriter4vs3,False,0.7252530451192314,0.9876603423889188,0.732691223684533,0.9876603423889188,0.05263157894736842,0.0,0.047619047619047616,0.0
java.io.OutputStreamWriter,Template2,OutputStreamWriter2vs8,False,0.7190509748649283,0.889967637540453,0.7157510878441111,0.9164289629405908,0.07692307692307693,0.06666666666666667,0.06666666666666667,0.06666666666666667
java.io.PrintStream,Template2,PrintStream2vs4,False,0.4868431550651168,0.8672336520739142,0.49843549898325334,0.897034966265287,0.05970149253731343,0.022900763358778626,0.030687830687830688,0.023015873015873017
java.io.PrintWriter,Template1,PrintWriter12vs5,False,0.7316081071603899,0.8857615894039734,0.7282242794024827,0.9128445192509993,0.07692307692307693,0.06666666666666667,0.06666666666666667,0.06666666666666667
java.io.PrintWriter,Template2,PrintWriter6vs10,False,0.7442438513867086,0.9846546310832025,0.7519230769230769,0.9846546310832025,0.05263157894736842,0.0,0.047619047619047616,0.0
java.io.PrintWriter,Template3,PrintWriter1vs4,True,0.789399293286219,0.9936753338018272,0.789399293286219,0.9936753338018272,0.0,0.0,0.0,0.0
java.lang.Exception,Template1,Exception6vs7,False,0.48136981278138813,0.6243404567400738,0.47169922790148106,0.6238596777150773,0.2037037037037037,0.16326530612244897,0.14312602291325696,0.10409165302782325
java.lang.Exception,Template2,Exception4vs20,False,0.769392871662827,0.9612159329140462,0.771520531237295,0.9734336179247414,0.03125,0.023255813953488372,0.023255813953488372,0.023255813953488372
java.lang.Exception,Template3,Exception22vs19,False,0.5640809264298742,0.7721517642141192,0.5366059768298068,0.7729806768114653,0.14754098360655737,0.05555555555555555,0.10900335619436743,0.048445936086385526
