directory,template,vsfiles,is_same,ASGard_completeness,generalization_completeness,ASGard_completeness_v2,generalization_completeness_v2,ASGard_abstraction,generalization_abstraction,ASGard_variable_ratio,generalization_variable_ratio
UofC, Thesis, UofC 2 vs 1, False, 0.664828738512949, 0.7359231411862991,0.6331662489557227,0.7399331662489557,0.1, 0.09523809523809523,0.09523809523809523, 0.09523809523809523
UofC, Thesis, UofC 1 vs 2, False, 0.5080664154498351, 0.7927608337258596,0.4888424399434762,0.7927608337258596,0.3076923076923077, 0.06666666666666667,0.26666666666666666, 0.06666666666666667
UofC, Thesis, UofC 2 vs 1, False, 0.36467425374933693, 0.6025100062689878,0.32206924820369387,0.6025100062689878,0.3333333333333333, 0.0,0.20202020202020202, 0.0
UofC, Thesis, UofC 2 vs 1, False, 0.20446779513717434, 0.3831417624521073,0.17875130853858462,0.5760137470619605,0.7, 0.47058823529411764,0.32717391304347826, 0.3739130434782609
UofC, Thesis, UofC 1 vs 2, False, 0.6607712075909955, 0.6752717391304348,0.6819170229064222,0.7961464330722281,0.15789473684210525, 0.16,0.1176923076923077, 0.15692307692307694
UofC, Thesis, UofC 1 vs 2, False, 0.5551181102362205, 0.6489795918367347,0.6652029978389811,0.8215576264739445,0.25, 0.13636363636363635,0.26285714285714284, 0.13142857142857142
UofC, Thesis, UofC 1 vs 2, False, 0.5625, 0.6795212765957447,0.6585120177835411,0.7868837380426785,0.2727272727272727, 0.21428571428571427,0.21883289124668437, 0.21883289124668437
UofC, Thesis, UofC 2 vs 1, False, 0.26326136212181794, 0.7857023857123817,0.2693922431027589,0.8408303345328535,0.5, 0.10526315789473684,0.3, 0.1
UofC, Thesis, UofC 1 vs 2, False, 0.49048346762989714, 0.5801912568306011,0.5752718252858129,0.716952013278875,0.2857142857142857, 0.2222222222222222,0.24603914259086673, 0.18452935694315004
UofC, Thesis, UofC 2 vs 1, False, 0.5617944796445998, 0.7884615384615385,0.58885004733814,0.8572815769669604,0.125, 0.05263157894736842,0.10818713450292397, 0.054093567251461985
UofC, Thesis, UofC 1 vs 2, False, 0.37007428940568476, 0.5579083547833548,0.3202842377260982,0.6266472868217055,0.5714285714285714, 0.3,0.3771929824561403, 0.28289473684210525
UofC, Thesis, UofC 1 vs 2, False, 0.4604772557792692, 0.6161616161616161,0.4770568937235604,0.7895407062073729,0.2857142857142857, 0.23529411764705882,0.2426470588235294, 0.2426470588235294
UofC, Thesis, UofC 1 vs 2, False, 0.4552387267904509, 0.7301136363636364,0.4437444739168877,0.7902298850574713,0.2857142857142857, 0.17647058823529413,0.23529411764705882, 0.17647058823529413
UofC, Thesis, UofC 1 vs 2, False, 0.4246311200536553, 0.7399815560026828,0.3886234071093226,0.7399815560026828,0.2857142857142857, 0.0625,0.22291021671826625, 0.05572755417956656
UofC, Thesis, UofC 1 vs 2, False, 0.6406573763315336, 0.7147806004618937,0.7203487523712242,0.8388661899897855,0.057692307692307696, 0.06557377049180328,0.04738805970149254, 0.06318407960199005
UofC, Thesis, UofC 1 vs 2, False, 0.4211737651401898, 0.5955349889346444,0.4782222914072229,0.6986145703611457,0.18181818181818182, 0.0547945205479452,0.11480908152734778, 0.04592363261093911
UofC, Thesis, UofC 2 vs 1, False, 0.30941872085276484, 0.5576923076923077,0.35180712858094604,0.7358844103930713,0.4166666666666667, 0.2777777777777778,0.2786377708978328, 0.2786377708978328
UofC, Thesis, UofC 2 vs 1, False, 0.4892540662881694, 0.6938223689656123,0.4649953966549025,0.7323298680374406,0.36363636363636365, 0.15384615384615385,0.30814814814814817, 0.15407407407407409
UofC, Thesis, UofC 1 vs 2, False, 0.4938650306748466, 0.5869098712446352,0.555420872089188,0.7854574840029026,0.34615384615384615, 0.25806451612903225,0.27751423149905124, 0.24667931688804554
UofC, Thesis, UofC 1 vs 2, False, 0.4226601226307584, 0.48372890472668595,0.4937997557344459,0.5987849125903738,0.4230769230769231, 0.3076923076923077,0.3958333333333333, 0.28787878787878785
UofC, Thesis, UofC 2 vs 1, False, 0.5873173031588874, 0.75,0.6198809523809524,0.7907142857142857,0.2857142857142857, 0.23529411764705882,0.23529411764705882, 0.23529411764705882
UofC, Thesis, UofC 2 vs 1, False, 0.5070384013168461, 0.6479218524168942,0.5461322667416092,0.6902425927412879,0.16666666666666666, 0.058823529411764705,0.1422275641025641, 0.05689102564102564
UofC, Thesis, UofC 2 vs 1, False, 0.5666134940328489, 0.7323536678375387,0.5562179755728143,0.7323536678375387,0.13793103448275862, 0.03125,0.1213235294117647, 0.030330882352941176
UofC, Thesis, UofC 1 vs 2, False, 0.4047362810815243, 0.5575046635098292,0.40648381608347167,0.6102125740524362,0.3888888888888889, 0.22727272727272727,0.28, 0.2
UofC, Thesis, UofC 2 vs 1, False, 0.3625, 0.5172043010752688,0.4383585164835165,0.6338255494505495,0.44, 0.25,0.3145424836601307, 0.22875816993464052
UofC, Thesis, UofC 1 vs 2, False, 0.5638974888200894, 0.8852554179566563,0.5836128310973512,0.8852554179566563,0.23076923076923078, 0.0,0.21428571428571427, 0.0
UofC, Thesis, UofC 1 vs 2, False, 0.43264367816091953, 0.5901639344262295,0.4613300492610838,0.6361083743842365,0.3333333333333333, 0.2777777777777778,0.2777777777777778, 0.2777777777777778
UofC, Thesis, UofC 1 vs 2, False, 0.5698943883324253, 0.8607770001257282,0.5585893298688236,0.8607770001257282,0.16666666666666666, 0.0,0.15, 0.0
